type,w_acc,w_miss,w_drowsy,ARI,NMI,Spearman_r,Pct_Match
Grid Sweep,0.5,0.1,0.0,0.3192794105353667,0.39932929878203777,0.8389113364336358,75.92592592592592
Grid Sweep,0.5,0.1,0.1,0.444600355876136,0.5621169061006901,0.9075245864145765,81.48148148148148
Grid Sweep,0.5,0.1,0.3,0.229295256647666,0.37812657096454566,0.885949531142792,66.66666666666666
Grid Sweep,0.5,0.1,0.5,0.19887158861027124,0.35506624480485627,0.8091789281085615,62.96296296296296
Grid Sweep,0.5,0.1,0.7,0.19617151336914834,0.26259432818122613,0.7446062361820538,55.55555555555556
Grid Sweep,0.5,0.3,0.0,0.664500884796986,0.5934233494294725,0.9379431272394603,87.03703703703704
Grid Sweep,0.5,0.3,0.1,0.7568299633933616,0.7327682036812452,0.9861248761149654,90.74074074074075
Grid Sweep,0.5,0.3,0.3,0.5459686450167973,0.5951730779151853,0.977205153617443,79.62962962962963
Grid Sweep,0.5,0.3,0.5,0.24929036551256736,0.3466924733140266,0.9209422886330717,62.96296296296296
Grid Sweep,0.5,0.3,0.7,0.1848074288323946,0.23152059686418971,0.860333917816574,59.25925925925925
Grid Sweep,0.5,0.5,0.0,0.5357317581868649,0.5879835030311314,0.8818327361439354,81.48148148148148
Grid Sweep,0.5,0.5,0.1,0.6400213517017961,0.6540289545722353,0.9158344133567127,87.03703703703704
Grid Sweep,0.5,0.5,0.3,0.6677037460210471,0.6694878428821937,0.9076008233589997,87.03703703703704
Grid Sweep,0.5,0.5,0.5,0.2677719713207144,0.44410718174544794,0.8889990089197225,64.81481481481481
Grid Sweep,0.5,0.5,0.7,0.24489414682902685,0.2918010616205072,0.8441716855988413,64.81481481481481
Grid Sweep,0.5,0.7,0.0,0.45626455691522794,0.4566503236830494,0.8453914767096135,77.77777777777779
Grid Sweep,0.5,0.7,0.1,0.467276092778921,0.505504570973332,0.859495311427918,77.77777777777779
Grid Sweep,0.5,0.7,0.3,0.48253890403670946,0.5591559932041168,0.8683387969810171,75.92592592592592
Grid Sweep,0.5,0.7,0.5,0.19804689595965017,0.23240856074378652,0.850651825874819,61.111111111111114
Grid Sweep,0.5,0.7,0.7,0.22615094625902346,0.2579213484019355,0.8251886864374476,64.81481481481481
Grid Sweep,0.5,1.0,0.0,0.3581155663594984,0.33225613722651937,0.7856979492261951,72.22222222222221
Grid Sweep,0.5,1.0,0.1,0.2473828205183195,0.26992180504755264,0.8029274986658534,66.66666666666666
Grid Sweep,0.5,1.0,0.3,0.18818079579072688,0.22004315648591663,0.8034611572768164,62.96296296296296
Grid Sweep,0.5,1.0,0.5,0.18278546452795785,0.2186434286114322,0.8004879164443088,61.111111111111114
Grid Sweep,0.5,1.0,0.7,0.1835543483312387,0.2235146750693247,0.7879850575588931,59.25925925925925
Grid Sweep,0.8,0.1,0.0,0.2527669296883753,0.3469480449123889,0.7998017839444995,72.22222222222221
Grid Sweep,0.8,0.1,0.1,0.35703637433037333,0.43485032440166,0.8235114736601358,77.77777777777779
Grid Sweep,0.8,0.1,0.3,0.2833610559639427,0.4107999305190971,0.8610200503163834,72.22222222222221
Grid Sweep,0.8,0.1,0.5,0.21265707456752728,0.36659794073094965,0.8337272242128536,64.81481481481481
Grid Sweep,0.8,0.1,0.7,0.18684358506387808,0.345168700692087,0.7878325836700465,61.111111111111114
Grid Sweep,0.8,0.3,0.0,0.39767966675098015,0.48112645059327275,0.9184264694671038,79.62962962962963
