,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
s01,R,N,21,M,N,N,4,3,3,3,4,3,5,5,5,4,4,3,3,3,0,Y,3,2,2,3,3,2,4,4,3,3,70,80,Y,4,4,4,4,4,4,2,2,2,2,3,90,Y,4,4,4,3,3,2,2,2,2,3,2,100,Y,3,3,3,3,3,2,2,3,3,3,2,80,3,2,2,2,2,2,2,2,2,4,2,3,3,3,2
s02,R,N,20,M,Y,N,5,2,4,3,5,4,5,5,5,5,3,4,4,4,0,Y,3,2,3,3,4,2,3,2,2,4,70,70,Y,3,4,3,3,4,2,2,2,2,2,3,70,Y,3,2,4,4,4,2,1,3,1,2,3,60,Y,4,5,4,4,4,2,2,4,2,2,4,80,4,4,4,4,4,2,1,4,2,2,4,3,3,3,4
s03,R,N,29,M,N,N,4,4,4,4,5,3,4,5,5,5,4,4,5,4,70,Y,3,3,4,4,4,3,2,2,1,2,70,80,Y,4,4,4,4,4,4,1,2,2,1,3,80,Y,4,4,4,4,4,4,1,2,2,1,3,90,Y,4,4,5,4,4,4,1,2,2,1,4,100,5,4,4,4,4,3,2,2,2,1,4,2,4,4,4
s04,R,N,20,M,Y,N,5,3,3,4,4,4,1,5,5,4,4,4,3,3,50,Y,4,3,4,4,4,3,2,3,2,4,50,50,Y,4,4,3,3,4,3,2,3,3,2,3,50,Y,4,4,4,3,4,3,2,2,2,2,4,60,Y,4,4,4,4,4,3,3,2,2,2,3,60,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
s05,R,N,22,M,N,N,5,5,5,5,5,2,5,5,5,4,5,3,3,3,60,Y,5,4,4,3,3,3,3,2,1,4,90,90,Y,5,4,4,3,3,3,4,2,2,2,5,100,Y,5,3,4,3,3,2,3,1,1,1,4,100,Y,5,4,3,3,3,2,2,1,1,2,2,100,5,4,4,3,3,3,2,1,1,1,4,2,4,4,4
s06,R,N,24,F,Y,N,4,3,4,3,5,4,2,5,5,5,4,4,5,3,70,Y,3,2,2,3,3,3,3,3,4,2,70,70,Y,3,3,3,3,3,3,2,4,4,4,3,90,Y,3,3,4,3,3,3,2,3,3,3,4,90,Y,4,3,3,3,3,3,4,3,3,2,3,90,3,3,3,3,3,3,4,4,4,2,2,3,3,4,2
s07,R,N,20,M,Y,N,4,2,3,3,5,3,2,5,5,4,4,3,4,3,80,Y,3,3,3,2,3,2,4,2,2,3,60,60,Y,3,2,3,2,3,2,2,2,2,2,3,80,Y,4,2,3,2,3,2,4,2,2,2,3,90,Y,5,2,3,2,2,2,2,2,2,1,3,100,5,2,4,2,2,0,3,2,2,1,3,2,3,3,3
s08,R,N,21,M,Y,N,5,3,4,4,5,3,5,1,5,5,5,4,4,4,70,Y,5,3,4,4,4,4,4,4,3,4,60,50,Y,5,2,4,4,4,4,4,4,2,3,4,50,Y,5,2,4,4,4,4,4,4,2,3,4,50,Y,5,2,4,4,4,4,4,4,2,3,4,50,5,2,4,4,4,4,4,4,2,3,4,2,3,3,2
s09,L,N,22,M,Y,Y,4,3,3,4,5,5,5,5,5,3,4,3,3,2,70,Y,4,1,1,2,2,1,5,5,4,2,40,40,Y,3,2,2,2,2,2,4,3,2,3,2,60,Y,3,2,2,2,1,2,4,3,2,3,2,70,Y,3,2,2,2,2,2,4,4,2,3,2,70,3,2,2,2,2,2,5,4,2,3,2,3,2,3,2
s10,R,N,20,M,Y,N,5,3,4,2,5,5,5,5,5,5,4,4,4,4,80,Y,3,2,3,2,2,4,2,4,2,3,70,80,Y,4,2,4,3,4,4,2,4,2,2,4,100,Y,4,4,4,2,4,3,2,4,2,2,3,100,Y,4,4,4,2,3,3,2,4,2,2,3,100,4,3,3,2,2,3,2,4,2,2,3,3,3,3,3
