Subject ID,Gender_cluster,Subjective_cluster,Task_cluster,Task_score
s01,Female,Subjective_C2,Task_Low_Performer,0.161616161658504
s02,Male,Subjective_C0,Task_Low_Performer,0.2323232323620038
s03,Female,Subjective_C2,Task_Mid_Performer,0.36363636366850316
s04,Female,Subjective_C2,Task_Mid_Performer,0.4646464646735027
s05,Male,Subjective_C0,Task_Mid_Performer,0.5555555555780023
s06,Female,Subjective_C2,Task_Mid_Performer,0.36363636366850316
s07,Female,Subjective_C0,Task_Low_Performer,0.24242424246250371
s08,Male,Subjective_C1,Task_Low_Performer,5.0505044590920534e-11
s09,Male,Subjective_C2,Task_Low_Performer,0.09090909095500443
s10,Female,Subjective_C1,Task_Mid_Performer,0.4747474747740027
s11,Male,Subjective_C1,Task_Mid_Performer,0.35353535356800325
s12,Male,Subjective_C1,Task_Low_Performer,0.1414141414575042
s13,Female,Subjective_C1,Task_Low_Performer,0.010101010151004841
s14,Male,Subjective_C1,Task_Low_Performer,0.27272727276400366
s15,Female,Subjective_C1,Task_Mid_Performer,0.5151515151760024
s16,Male,Subjective_C0,Task_Mid_Performer,0.45454545457300277
s17,Male,Subjective_C0,Task_Mid_Performer,0.34343434346750323
s18,Female,Subjective_C2,Task_Low_Performer,0.11111111115600425
s19,Female,Subjective_C0,Task_Mid_Performer,0.45454545457300277
s20,Male,Subjective_C2,Task_Mid_Performer,0.606060606080502
s21,Male,Subjective_C2,Task_Low_Performer,0.10101010105550456
s22,Female,Subjective_C1,Task_Mid_Performer,0.5050505050755025
s23,Female,Subjective_C0,Task_Mid_Performer,0.5959595959800019
s24,Male,Subjective_C2,Task_Low_Performer,0.11111111115600425
s25,Male,Subjective_C0,Task_Low_Performer,0.11111111115600425
s26,Female,Subjective_C0,Task_Mid_Performer,0.5151515151760024
s27,Male,Subjective_C2,Task_Low_Performer,0.07070707075400462
s28,Female,Subjective_C2,Task_Mid_Performer,0.4646464646735027
s29,Male,Subjective_C2,Task_Mid_Performer,0.5656565656785022
s30,Female,Subjective_C2,Task_Mid_Performer,0.6868686868845015
s31,Male,Subjective_C0,Task_Low_Performer,0.3030303030655035
s32,Male,Subjective_C1,Task_Low_Performer,0.2222222222615039
s33,Male,Subjective_C2,Task_Low_Performer,0.3030303030655035
s34,Male,Subjective_C1,Task_Low_Performer,0.3030303030655035
s35,Male,Subjective_C2,Task_Low_Performer,0.06060606065350449
s36,Male,Subjective_C0,Task_Mid_Performer,0.5555555555780023
s37,Male,Subjective_C2,Task_Low_Performer,0.010101010151004841
s38,Male,Subjective_C0,Task_Mid_Performer,0.4747474747740027
s39,Male,Subjective_C1,Task_Low_Performer,0.12121212125650438
s40,Female,Subjective_C0,Task_Low_Performer,0.17171717175900414
s41,Male,Subjective_C2,Task_Mid_Performer,0.5353535353770023
s42,Male,Subjective_C2,Task_High_Performer,1.0
s43,Female,Subjective_C2,Task_Low_Performer,0.15151515155800432
s44,Female,Subjective_C2,Task_High_Performer,0.8989898989950005
s45,Female,Subjective_C1,Task_Mid_Performer,0.35353535356800325
s46,Male,Subjective_C2,Task_Low_Performer,0.28282828286450357
s47,Male,Subjective_C2,Task_Low_Performer,0.28282828286450357
