,Gender_cluster,BCIExp_cluster,Subjective_cluster,Task_cluster,Task_score
subject1,Male,Experienced,Subjective_C0,Task_High_Performer,0.6001279584921891
subject2,Male,Experienced,Subjective_C0,Task_Mid_Performer,0.4236791591378953
subject3,Male,Experienced,Subjective_C1,Task_Mid_Performer,0.3886587867225685
subject4,Male,Naive,Subjective_C0,Task_Mid_Performer,0.5194800816834154
subject5,Female,Experienced,Subjective_C2,Task_Mid_Performer,0.3722261505546196
subject6,Male,Experienced,Subjective_C1,Task_High_Performer,0.6716503344448068
subject7,Female,Naive,Subjective_C0,Task_High_Performer,0.7369094514678065
subject8,Male,Naive,Subjective_C2,Task_Low_Performer,0.0
subject9,Female,Naive,Subjective_C1,Task_Mid_Performer,0.34734148203871934
subject10,Male,Experienced,Subjective_C1,Task_Mid_Performer,0.30464356643762996
subject11,Male,Naive,Subjective_C1,Task_Mid_Performer,0.5078627466060426
subject12,Male,Naive,Subjective_C1,Task_Mid_Performer,0.2950129640318475
subject13,Female,Experienced,Subjective_C1,Task_High_Performer,0.6309391515153076
subject14,Female,Experienced,Subjective_C0,Task_Mid_Performer,0.5213994674891863
subject15,Female,Naive,Subjective_C0,Task_High_Performer,0.6231942614637258
subject16,Female,Naive,Subjective_C2,Task_High_Performer,0.5962555134663983
subject17,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5044617297156291
subject18,Male,Naive,Subjective_C2,Task_Low_Performer,0.19463245431345289
subject19,Male,Naive,Subjective_C1,Task_Mid_Performer,0.43980873448458124
subject20,Female,Experienced,Subjective_C1,Task_High_Performer,0.5635922815219888
subject21,Male,Experienced,Subjective_C0,Task_High_Performer,0.671549314146078
subject22,Male,Naive,Subjective_C2,Task_Mid_Performer,0.38519042294767497
subject23,Female,Naive,Subjective_C2,Task_High_Performer,0.6560932074758239
subject24,Female,Naive,Subjective_C0,Task_High_Performer,0.6743778826962501
subject25,Female,Naive,Subjective_C1,Task_High_Performer,0.7929083738468892
subject26,Female,Naive,Subjective_C2,Task_High_Performer,0.6619860586061147
subject27,Female,Experienced,Subjective_C1,Task_Mid_Performer,0.4288985415353511
subject28,Female,Naive,Subjective_C0,Task_Mid_Performer,0.373438394138664
subject29,Female,Naive,Subjective_C1,Task_Mid_Performer,0.5136882508705142
subject30,Male,Experienced,Subjective_C2,Task_High_Performer,0.6426911803616401
subject31,Male,Naive,Subjective_C1,Task_High_Performer,0.7368421045833267
subject32,Female,Naive,Subjective_C1,Task_High_Performer,0.9060511154356649
subject33,Female,Experienced,Subjective_C1,Task_Mid_Performer,0.4868168497390059
subject34,Female,Naive,Subjective_C0,Task_High_Performer,0.6425564865926803
subject35,Female,Naive,Subjective_C0,Task_High_Performer,0.6386503681339798
subject36,Male,Naive,Subjective_C1,Task_High_Performer,0.7368421045833267
subject37,Female,Naive,Subjective_C2,Task_Mid_Performer,0.3754924736760734
subject38,Female,Naive,Subjective_C2,Task_Mid_Performer,0.5310300698949688
subject39,Male,Naive,Subjective_C2,Task_High_Performer,0.5794187960102306
subject40,Female,Experienced,Subjective_C2,Task_Low_Performer,0.13523251496917343
subject41,Female,Naive,Subjective_C0,Task_Mid_Performer,0.4945617397905877
subject42,Female,Experienced,Subjective_C2,Task_Low_Performer,0.16183452860008354
subject43,Male,Naive,Subjective_C1,Task_High_Performer,0.683301342955089
subject44,Male,Naive,Subjective_C1,Task_High_Performer,0.9999999990786947
subject45,Female,Naive,Subjective_C0,Task_Mid_Performer,0.435330167685499
subject46,Male,Experienced,Subjective_C2,Task_Mid_Performer,0.46947503071455116
subject47,Male,Experienced,Subjective_C2,Task_Mid_Performer,0.47284237420951686
subject48,Female,Naive,Subjective_C1,Task_Mid_Performer,0.49119439631442297
subject49,Male,Experienced,Subjective_C1,Task_Mid_Performer,0.47166380400225966
subject50,Female,Naive,Subjective_C1,Task_High_Performer,0.5632555471931734
subject51,Female,Naive,Subjective_C0,Task_High_Performer,0.5732902308122512
subject52,Female,Experienced,Subjective_C2,Task_High_Performer,0.5963565337837877
subject53,Female,Experienced,Subjective_C1,Task_High_Performer,0.620500386663993
subject54,Female,Naive,Subjective_C2,Task_Low_Performer,0.10300703776455311
