subject,Gender_cluster,BCIExp_cluster,Subjective_cluster,Task_cluster,Task_score
s01,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5357377046171118
s02,Male,Naive,Subjective_C2,Task_Mid_Performer,0.48491803247758275
s03,Male,Naive,Subjective_C0,Task_High_Performer,0.5973770488844503
s04,Male,Naive,Subjective_C2,Task_Mid_Performer,0.3544262292807922
s05,Male,Naive,Subjective_C2,Task_High_Performer,0.999999999437377
s06,Female,Naive,Subjective_C2,Task_Mid_Performer,0.4216393440815996
s07,Male,Naive,Subjective_C1,Task_High_Performer,0.6354098357266156
s08,Male,Naive,Subjective_C0,Task_Mid_Performer,0.4399999997062679
s09,Male,Experienced,Subjective_C1,Task_Low_Performer,0.2865573768852266
s10,Male,Naive,Subjective_C2,Task_High_Performer,0.56819672105724
s11,Male,Naive,Subjective_C2,Task_High_Performer,0.5885245898604788
s12,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5504918029809474
s13,Male,Naive,Subjective_C2,Task_Mid_Performer,0.4619672128623483
s14,Male,Naive,Subjective_C1,Task_Low_Performer,0.12360655724830757
s15,Female,Experienced,Subjective_C2,Task_Low_Performer,0.21278688519617886
s16,Male,Naive,Subjective_C2,Task_High_Performer,0.6649180324452706
s17,Female,Naive,Subjective_C2,Task_High_Performer,0.625245901324996
s18,Male,Naive,Subjective_C1,Task_Low_Performer,0.11868852456344438
s19,Male,Naive,Subjective_C2,Task_Mid_Performer,0.410163934236616
s20,Male,Naive,Subjective_C2,Task_High_Performer,0.7675409831641493
s21,Female,Naive,Subjective_C2,Task_Mid_Performer,0.38983606533029524
s22,Male,Naive,Subjective_C0,Task_High_Performer,0.7199999996091887
s23,Male,Naive,Subjective_C1,Task_High_Performer,0.7377049176571314
s24,Male,Naive,Subjective_C0,Task_Mid_Performer,0.5272131144936015
s25,Male,Naive,Subjective_C2,Task_Mid_Performer,0.34393442604442753
s26,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5259016390785873
s27,Male,Experienced,Subjective_C1,Task_High_Performer,0.6514754094964491
s28,Male,Naive,Subjective_C2,Task_Mid_Performer,0.4718032784292224
s29,Female,Naive,Subjective_C1,Task_Low_Performer,0.18918032774265595
s30,Male,Naive,Subjective_C0,Task_Mid_Performer,0.3898360653676614
s31,Male,Naive,Subjective_C1,Task_Low_Performer,0.24754098349114215
s32,Male,Naive,Subjective_C2,Task_High_Performer,0.5927868849222342
s33,Female,Naive,Subjective_C2,Task_High_Performer,0.5803278685536812
s34,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5213114751163712
s35,Female,Naive,Subjective_C2,Task_Mid_Performer,0.34655737687445576
s36,Male,Naive,Subjective_C0,Task_High_Performer,0.7596721306830806
s37,Female,Naive,Subjective_C0,Task_Low_Performer,0.3072131146546424
s38,Female,Experienced,Subjective_C1,Task_Low_Performer,0.0
s39,Male,Naive,Subjective_C2,Task_Mid_Performer,0.5052459013465376
s40,Female,Naive,Subjective_C1,Task_Low_Performer,0.19803278680399342
s41,Male,Experienced,Subjective_C1,Task_Mid_Performer,0.3295081965527031
s42,Male,Naive,Subjective_C1,Task_Mid_Performer,0.3747540982154628
s43,Female,Naive,Subjective_C1,Task_Mid_Performer,0.39999999976928086
s44,Male,Naive,Subjective_C1,Task_Low_Performer,0.14983606548547646
s45,Male,Naive,Subjective_C2,Task_Mid_Performer,0.49278688494963513
s46,Male,Naive,Subjective_C0,Task_Mid_Performer,0.3852459014428112
s47,Male,Naive,Subjective_C2,Task_High_Performer,0.6498360652183399
s48,Female,Naive,Subjective_C2,Task_Mid_Performer,0.48327868831157195
s49,Female,Naive,Subjective_C1,Task_Mid_Performer,0.36786885222059745
s50,Female,Naive,Subjective_C1,Task_High_Performer,0.6780327865309972
s51,Male,Experienced,Subjective_C1,Task_Mid_Performer,0.5249180324983185
s52,Male,Naive,Subjective_C2,Task_High_Performer,0.7667540979298271
s53,Male,Naive,Subjective_C2,Task_Mid_Performer,0.3186885243591777
s54,Male,Naive,Subjective_C0,Task_High_Performer,0.6563934422470281
s55,Male,Naive,Subjective_C0,Task_High_Performer,0.8144262290676522
